"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
2.46678897030098e-06,-7.16760788745189,0,0.35,0.0405589442496888,"RPS4Y1"
1.03614818920387e-05,-1.53931655897012,0.368,0.85,0.1703634852689,"PVALB"
1.5007381298383e-05,4.47821495464893,0.505,0.05,0.246751363308014,"PAPPA2"
1.80709514849458e-05,-2.89243083489756,0.189,0.7,0.297122584315479,"BTG2"
2.74313245673292e-05,1.93089257728387,0.663,0.35,0.451025838536026,"RHOA"
3.03548683154642e-05,1.79632527385136,0.789,0.4,0.499094744842863,"WFDC2"
4.10189140863823e-05,4.64044858277902,0.305,0,0.674432985408298,"EMP1"
4.33787404962885e-05,-3.50149402952944,0.074,0.6,0.713233251239975,"NR4A1"
5.1381550673685e-05,4.78608395390986,0.305,0,0.844815456176728,"LRRK2"
5.64692077688494e-05,-1.58622444023301,0.305,0.85,0.928466714135422,"EGF"
9.96416495103308e-05,1.90356719234122,0.558,0.2,1,"SLC35F5"
0.000111408260345073,4.55681821079723,0.295,0,1,"TMPRSS4"
0.000119268644810198,3.00049468365787,0.347,0.05,1,"CITED2"
0.000132777792065848,-2.6249348559991,0.095,0.5,1,"OPLAH"
0.000167341809028256,1.34702759085776,0.853,0.6,1,"ITM2C"
0.000187787036087637,4.03397138568,0.221,0,1,"SLC16A4"
0.000197857911361425,4.19845682935283,0.242,0,1,"SCN7A"
0.000256901156899985,-6.46679130247831,0,0.2,1,"EIF1AY"
0.000340954902792804,2.97593326286845,0.379,0.05,1,"PKD2"
0.000343552246633162,4.43806044029208,0.263,0,1,"SEMA4B"
0.000346612979225984,-6.16576392085453,0,0.2,1,"TSNARE1"
0.000347717267654043,-1.63413218882492,0.158,0.65,1,"ISYNA1"
0.000356906956536856,1.158575175557,0.905,0.6,1,"WSB1"
0.000383486412554818,4.50811413777828,0.263,0,1,"MGLL"
0.000383639650651993,0.972710689429848,0.874,0.7,1,"S100A11"
0.000396663625088155,3.86415465569701,0.211,0,1,"ZC3HAV1"
0.00040326594506158,3.24183478743381,0.463,0.05,1,"TSPAN1"
0.000421851738755878,1.73170142644373,0.316,0.1,1,"CISD2"
0.000489082320971206,3.94906559062753,0.221,0,1,"C1orf174"
0.000491833620047433,-2.23172198054116,0.084,0.5,1,"SF3B4"
0.000536359200163312,1.53411578103332,0.6,0.4,1,"IFITM3"
0.000598713932000538,4.442247975473,0.253,0,1,"CASR"
0.000599548667571736,-6.24305084122085,0,0.2,1,"HLA-DRB5"
0.000615176781247604,5.69782916555503,0.389,0,1,"ATP6V0C"
0.000629186979168159,1.30482815930437,0.705,0.4,1,"SERPING1"
0.000630600527584688,1.91132672700667,0.495,0.2,1,"ITGA2"
0.000662903857016216,-2.40572039321215,0.095,0.5,1,"ERF"
0.000689232665137884,0.987961957049174,0.832,0.55,1,"COL18A1"
0.000751919486639016,4.5278853513586,0.232,0,1,"FIBIN"
0.00078467916002149,3.43821192176942,0.158,0,1,"WDR37"
0.000913917544330784,5.61121700598485,0.368,0,1,"MICOS10"
0.00103427025610323,5.18219376429488,0.337,0,1,"TRAPPC5"
0.00105136046944608,3.92840337705527,0.2,0,1,"PRPF40B"
0.00105712015237679,3.26827027083904,0.284,0.05,1,"RICTOR"
0.00113642464382477,2.52407077903064,0.505,0.15,1,"NPNT"
0.00115407964082032,-1.43881655712046,0.242,0.75,1,"ALDH6A1"
0.0011692347698614,2.37607009851656,0.358,0.1,1,"RBPMS"
0.00118089723343653,1.30906726077599,0.747,0.55,1,"HLA-B"
0.00126793657773719,3.87255400685478,0.2,0,1,"TIMP2"
0.00127936489828592,-0.132097968905176,0.979,0.9,1,"GAPDH"
0.00128359460072355,4.03562516962409,0.2,0,1,"MOB3B"
0.00128764719290207,4.32925745239779,0.221,0,1,"STX3"
0.00132558485906786,-2.92366592467593,0.084,0.55,1,"PER1"
0.00146069721652961,-0.917811083110223,0.421,0.9,1,"KL"
