"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","CellType","Condition"
"R-HSA-1566948","Elastic fibre formation",24,-0.727853459160452,-2.27200652722021,2.16473412198964e-05,0.0121982767774116,0.0116325975713233,747,"tags=58%, list=13%, signal=51%","LTBP3/LTBP2/ITGB5/LTBP4/FBLN5/MFAP4/FBN1/FURIN/EFEMP1/LOX/ITGA5/FBLN1/FBLN2/MFAP5","VSMC_P","DKD_vs_Healthy"
"R-HSA-1630316","Glycosaminoglycan metabolism",54,-0.581256719496938,-2.1286010128378,1.90293125256788e-05,0.0121982767774116,0.0116325975713233,1057,"tags=48%, list=18%, signal=40%","GPC3/HSPG2/CTSL/EXT1/CHSY1/CD44/HEXA/CHST15/CHPF/PRELP/CHST12/SDC4/SLC26A2/CHPF2/ST3GAL1/VCAN/CSGALNACT2/B4GALT4/LUM/CHST7/DCN/B4GALT7/GPC4/HAS1/OMD/OGN","VSMC_P","DKD_vs_Healthy"
"R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling",51,-0.557040351167803,-2.00287141751946,4.32637391999716e-05,0.0162527446927893,0.0154990448151477,475,"tags=33%, list=8%, signal=31%","BCL6/MCL1/ANXA1/POU2F1/FOXO1/JUNB/FOS/ICAM1/FGF2/FOXO3/CEBPD/SOCS3/IL4R/MYC/CDKN1A/HMOX1/SOCS1","VSMC_P","DKD_vs_Healthy"
"R-HSA-1474244","Extracellular matrix organization",148,-0.397486746109199,-1.72109040978108,0.000114107790198605,0.0321498698884569,0.0306589615244146,1054,"tags=33%, list=18%, signal=28%","HSPG2/P4HB/EFEMP2/COL12A1/CTSL/COL6A2/COL14A1/CD44/SSPN/MMP2/THBS1/COL6A3/COL16A1/HTRA1/LTBP3/LTBP2/ITGA11/SDC4/ITGB5/P4HA2/LTBP4/COL5A1/COL1A1/PCOLCE/FBLN5/PTPRS/VCAN/MFAP4/FBN1/FURIN/LAMB1/JAM3/EFEMP1/LUM/ADAMTS1/LOX/ITGA5/ICAM1/COL8A1/DCN/FGF2/CTSK/TNXB/FBLN1/ASPN/SERPINE1/FBLN2/PCOLCE2/MFAP5","VSMC_P","DKD_vs_Healthy"
"R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)",60,-0.52251260216178,-1.9630934028583,0.000143743780076919,0.0323998480293376,0.0308973472544283,1057,"tags=32%, list=18%, signal=26%","GPC3/P4HB/CHRDL1/MXRA8/MMP2/CST3/FSTL1/VWA1/PRSS23/VCAN/FBN1/LAMB1/FSTL3/APOL1/IGFBP6/GOLM1/IGF2/IGF1/C3","VSMC_P","DKD_vs_Healthy"
"R-HSA-2129379","Molecules associated with elastic fibres",21,-0.699444877413067,-2.1020707694064,0.000244191766295314,0.0458673534358031,0.0437403146293887,747,"tags=52%, list=13%, signal=46%","LTBP3/LTBP2/ITGB5/LTBP4/FBLN5/MFAP4/FBN1/EFEMP1/FBLN1/FBLN2/MFAP5","VSMC_P","DKD_vs_Healthy"
